institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber,File,month
COA,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
COLO,343803,343803,343803,0,335580,343803,0,0,0,234332,0,0,342842,336164,263346,126027,126027,126027,141299,2,337689,70449,100708,287104,230317,260753,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CS,57350,57350,57350,0,57221,57350,0,0,0,57339,0,0,57350,57310,56910,54877,54877,54877,0,0,0,0,5611,56115,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CSLA,8924,0,8924,0,8772,8924,0,0,0,8838,0,0,8791,8801,8265,1010,1010,1010,5132,0,8924,212,527,8883,8732,7317,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
CSU,9722,9722,9722,0,9621,9722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
DAV,138011,26923,45145,0,132634,138011,0,0,0,137912,0,0,137978,137956,128598,104415,104415,104415,68836,0,42768,2315,60208,138001,132283,136796,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
DBG,91458,91458,85719,0,83426,91458,0,0,0,84470,0,0,87907,86960,80713,73598,73598,73598,52374,0,83119,8028,18130,89067,88786,65507,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
DES,91235,0,88625,0,88814,91235,0,0,0,87968,0,0,90812,89608,76110,86761,86761,86761,58529,0,78074,9840,19280,91207,90307,81691,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
DMNH,57,57,57,57,0,57,0,0,0,57,0,0,54,44,38,0,0,0,0,0,0,0,0,10,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
DMNS,11,11,11,3,1,11,0,0,0,7,3,2,7,6,5,5,5,5,0,0,0,3,11,10,5,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
DUKE,282244,0,281520,0,266443,282244,0,0,0,281253,0,0,281437,273856,167062,148848,148848,148848,91793,0,8731,6660,139227,281785,242019,276409,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
ECON,6176,6176,6176,6176,5897,6176,0,0,0,6026,6169,6169,6122,5845,3584,53,53,53,518,0,5378,522,275,6127,4484,2283,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
ECU,2423,2423,2423,0,2367,2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
EKY,80483,0,76915,0,79989,80483,0,0,0,75721,0,0,80471,80104,79103,6684,6684,6684,1377,0,74751,1952,13843,80272,78492,72373,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
ENLC,3,3,3,0,3,3,0,0,0,3,0,0,3,3,3,3,3,3,2,0,3,3,3,3,3,3,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
F,997025,997025,815981,0,892225,997025,0,0,0,331245,654704,970336,962086,525663,251758,810528,810528,810528,0,0,753934,115569,172831,776659,679332,708130,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
FH,236827,236827,236827,236592,224380,236827,0,0,0,233791,235628,235620,232220,215181,120808,3658,3658,3658,2689,0,152931,7053,6890,234838,203158,117543,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
FHSM,3,3,3,0,0,3,0,0,0,3,0,3,0,3,3,0,0,0,0,0,3,0,3,3,0,3,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
FLAS,101045,0,101045,101045,96718,101045,0,0,0,0,0,0,100912,96870,81854,21155,21155,21155,0,0,85645,0,0,101044,99267,86288,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
FMNH,23345,23345,23344,0,2347,23345,0,0,0,0,23344,23280,23280,23239,8176,0,0,0,0,0,11061,0,16549,1902,730,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
FSC,15140,0,15140,0,14905,15140,0,0,0,9594,0,0,14815,14719,13976,2769,2769,2769,5004,6,13589,1130,3674,9632,9291,7513,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
FTG,78186,78186,78186,0,72996,78186,0,0,0,27941,0,76617,77640,60719,44155,10612,10612,10612,0,0,0,0,0,70184,76529,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
GH,603948,603948,603948,603804,590714,603948,0,0,0,571873,592896,592895,584159,541939,338798,8670,8670,8670,55961,0,522854,84545,19069,600611,331001,265887,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
GMDRC,4,4,4,0,4,4,0,0,0,4,0,0,4,4,4,4,4,4,4,0,4,0,4,4,4,4,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
GMNH,180,180,164,179,0,180,0,0,0,179,0,0,180,179,178,129,129,129,0,0,0,0,0,180,178,178,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
GUAM,595,595,595,0,0,595,0,0,0,592,0,0,580,80,0,242,242,242,0,0,0,7,2,434,570,38,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
haw,1,1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
HWML,80,80,80,0,2,80,0,0,0,80,0,74,75,61,8,72,72,72,0,0,0,0,80,80,8,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
INHS,56,56,56,0,16,56,0,0,0,56,0,0,56,55,41,49,49,49,0,0,0,0,6,0,51,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
JFBM,9,9,9,0,0,9,0,0,0,9,0,0,8,8,8,5,5,5,0,0,0,0,0,9,8,2,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
KHD,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
KNWR,2502,2502,2502,2493,2308,2502,0,0,0,2502,2502,2502,2502,2502,97,2502,2502,2502,0,0,153,1766,2502,1714,2502,138,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
KSP,22819,214,16252,62,22310,22819,0,0,0,21899,0,0,22801,22337,21785,10865,10865,10865,8217,0,0,1470,2436,22810,19073,21936,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
KSTC,50877,50877,50822,0,46904,50877,0,0,0,50498,0,48553,48551,48463,46889,22569,22569,22569,0,0,0,0,38196,50510,50211,44622,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
KU,399972,399972,399964,75658,327852,399972,0,0,0,391970,391559,391533,383992,369624,340585,297336,297336,297336,99793,0,95553,0,251588,377637,330306,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
LACM,187,187,187,152,1,187,0,0,0,187,187,187,187,187,182,181,181,181,0,0,17,112,187,183,127,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
LOB,15781,0,14108,0,14684,15781,0,0,0,15675,0,0,15601,15539,15089,9441,9441,9441,7619,1,14094,355,1162,15537,15171,14712,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
Logan,3,3,3,0,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,3,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
LSU,163406,163406,163406,1837,161038,163406,0,0,0,159710,0,0,161772,158791,152330,57400,57400,57400,5138,0,0,52585,65362,161780,155045,161564,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
LSUM,14729,14729,14729,0,9200,14729,0,0,0,14455,0,0,14546,11647,5163,14009,14009,14009,566,0,0,363,5507,14578,14422,14573,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MACF,6118,0,5524,0,6064,6118,0,0,0,5598,0,0,6099,5991,5026,494,494,494,2063,0,5524,759,1767,6091,6012,4934,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MCZ,20,20,20,20,16,20,0,0,0,19,19,19,19,18,12,7,7,7,0,0,0,0,20,20,3,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MICH,941837,941837,941837,486714,826056,941837,0,0,0,941837,0,909987,909917,815486,582938,302342,302342,302342,82495,0,487937,130114,236297,926634,843179,882656,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MIN,560127,560127,558318,136358,544796,560127,0,0,0,401183,0,0,482094,461967,385490,281605,281605,281605,13383,2,326057,20170,34745,470537,394334,458726,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MISS,55629,55629,55629,0,54864,55629,0,0,0,0,0,0,55629,0,55391,0,0,0,0,0,0,0,0,55629,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MO,4734422,4734422,4734422,0,3973783,4734422,0,0,0,4485395,0,4703979,4705119,4392025,2402200,3159132,3159132,3159132,0,0,337686,2563193,2957046,4734396,4526952,4734419,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MPM,107620,107620,107608,107620,98891,107620,0,0,0,0,107325,107325,106799,104388,97632,2057,2057,2057,0,0,0,0,0,106633,94882,71574,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MSB,8,8,8,8,0,8,0,0,0,8,8,8,8,8,3,1,1,1,0,0,0,6,8,8,8,4,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MSC,179159,179159,179088,179143,164612,179159,0,0,0,179013,171219,171213,169818,131765,101649,25897,25897,25897,0,0,0,0,0,178022,174449,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MSUB,13469,0,10772,0,13316,13469,0,0,0,11717,0,0,13390,12759,10916,139,139,139,1567,0,0,2,4164,11974,10779,9948,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
MUR,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NAUF,38,38,38,5,0,38,0,0,0,36,0,0,38,38,35,38,38,38,0,0,1,5,29,38,38,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NCSC,77255,40392,77220,1344,74674,77255,0,0,0,40329,0,0,75773,74713,63478,3474,3474,3474,8159,0,71907,2290,430,43621,38700,40911,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NCSM,4025,4025,4025,2089,2027,4025,0,0,0,1691,0,2077,4009,4008,3702,1128,1128,1128,2,0,1927,1815,3722,3856,1920,1936,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NCU,429141,264,429066,0,418951,429141,0,0,0,152666,0,0,427210,423962,410527,40435,40435,40435,5837,0,396124,44129,87931,169282,163380,151888,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NEBC,278158,278158,278158,278152,275784,278158,0,0,0,271207,278129,278129,278128,278068,225313,270,270,270,177,0,268376,7424,5302,278001,268169,105906,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NEON,120,120,120,0,120,120,0,0,0,120,0,0,120,120,120,120,120,120,0,0,109,0,0,0,120,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NEOSU,1095,1095,1095,0,1076,1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NHA,57712,0,57712,0,56139,57712,0,0,0,57712,0,0,57696,56853,51438,57662,57662,57662,9783,31,57710,2235,3389,57637,55915,1233,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NMSU,3,3,3,0,0,3,0,0,0,2,0,0,3,3,3,1,1,1,0,0,0,0,0,3,3,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NPS,1,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NTSRV,218406,218406,218406,0,217002,218406,210688,0,0,0,0,215697,196856,196856,196856,0,0,0,0,0,0,0,0,80270,199546,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NWOSU,93,93,93,0,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
NY,4029219,4029219,4029219,3992964,3831281,4029219,0,0,0,2522677,0,2784633,2777956,2447807,1567415,1543169,1543169,1543169,1023624,0,3119239,635075,847851,2797199,2597618,2699640,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OBI,62893,0,58867,0,61414,62893,0,0,0,62567,0,0,62792,62499,61364,38699,38699,38699,19956,0,58664,6519,18423,62803,61415,61981,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OCLA,12234,12234,12234,0,11990,12234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OKL,122047,122047,122047,0,121182,122047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OKLA,48318,48318,48318,0,48048,48318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OMNH,2080,2080,2080,0,179,2080,0,0,0,0,0,0,2002,1909,1824,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OPSU,2186,2186,2186,0,2181,2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OSC,165591,165591,165591,0,163714,165591,0,0,0,165145,0,165585,165589,165591,161844,150453,150453,150453,2,0,3,162890,165591,165469,162076,2,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OSUC,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
OUIP,2,2,2,2,0,2,0,0,0,2,2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
PBDB,87114,87114,0,61589,16081,87114,0,0,131,48393,86337,74866,86989,61169,20747,87114,87114,87114,0,0,0,0,0,87114,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
POM,121104,121104,40288,121068,117623,121104,0,0,0,121090,0,0,121080,120588,113094,6771,6771,6771,0,0,28510,0,0,121072,110034,121063,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
PRC,487353,487275,487353,487353,472569,487353,0,0,0,484100,487121,487120,487115,484366,341097,127969,127969,127969,0,0,0,380775,433651,483190,483271,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
PRI,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
PSUC,2,2,2,1,1,2,0,0,0,1,0,0,2,2,2,2,2,2,0,0,0,1,2,2,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
RENO,82,82,82,0,82,82,0,0,0,82,0,0,82,82,82,82,82,82,82,0,82,3,82,82,81,82,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
RHNM,6,0,6,0,6,6,0,0,0,6,0,0,6,6,6,6,6,6,6,0,6,5,5,6,6,6,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
RLMC,983,0,983,983,879,983,0,0,0,983,0,0,983,983,983,981,981,981,385,0,0,0,983,983,982,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
RM,3,3,3,0,3,3,0,0,0,3,0,0,3,3,3,0,0,0,2,0,3,2,3,3,3,3,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
RSA,435518,435518,131050,435473,424050,435518,0,0,0,435501,0,0,435484,432137,406695,152955,152955,152955,0,0,57673,0,0,435439,422011,435422,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SCFS,1697,0,1695,0,1637,1697,0,0,0,1680,0,0,1694,1694,1694,1669,1669,1669,1325,1,1548,573,1075,1693,1687,1313,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SD,252784,0,31869,0,248936,252784,0,0,0,250921,0,0,252144,250116,252784,208855,208855,208855,69698,0,30319,0,132625,252231,247661,252784,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SDNHM,270,270,270,270,0,270,0,0,0,270,0,0,270,270,270,270,270,270,0,0,0,0,0,270,270,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SDSM,146,146,146,145,8,146,0,0,0,0,139,139,139,139,126,0,0,0,0,0,0,0,0,0,59,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SDSU,22811,150,22781,0,22411,22811,0,0,0,22022,0,0,22755,22406,21247,18796,18796,18796,13853,0,22381,8344,12823,22794,22203,17829,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SEINet,13,10,13,0,13,13,0,0,0,10,0,0,13,13,11,13,13,13,4,0,10,7,11,13,12,11,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SEOSU,19884,19884,19884,0,19543,19884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SFV,16270,0,16155,0,15943,16270,0,0,0,16237,0,0,16261,16166,15376,14233,14233,14233,11467,0,16155,1636,2802,16270,15960,16095,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
SJSU,15932,0,15892,0,15808,15932,0,0,0,15909,0,0,15927,15731,14136,9427,9427,9427,74,0,14503,13,44,15932,15865,11880,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
TENN,419963,70699,419963,1,397183,419963,0,0,0,181893,0,0,418047,415682,376510,166606,166606,166606,28194,6,356681,9674,56708,187245,182658,155252,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
TEX,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
TTU,23,23,23,23,15,23,0,0,0,23,0,0,23,23,19,23,23,23,0,0,0,0,1,10,18,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
TULS,8379,8379,8379,0,8268,8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UA,41460,41460,41460,0,40893,41460,0,0,0,40668,0,41448,41448,41362,38355,39040,39040,39040,0,0,0,0,17996,41460,39845,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UAM,205685,205685,205685,205575,195505,205685,0,0,0,205685,205685,136055,136065,135411,1564,126844,126844,126844,0,0,173287,200302,205685,205681,200027,742,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UAMb,74529,74529,74529,73978,70052,74529,0,0,0,74529,74529,73686,74133,66422,715,29714,29714,29714,0,0,57013,74513,74529,74529,74402,10,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UCBG,18900,18900,18900,0,16211,18900,0,0,0,18900,0,15882,16530,10465,5198,827,827,827,0,0,0,0,0,18900,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UCM,19,19,19,0,0,19,0,0,0,0,0,19,19,19,18,13,13,13,0,0,1,3,4,6,1,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UCMP,44375,44375,44375,43896,14159,44375,0,0,0,44348,0,43158,43119,42218,40638,7204,7204,7204,0,6820,684,0,0,31001,0,0,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UCONN,171064,171064,171064,0,161832,171064,0,0,0,170254,20959,0,169658,168296,157471,155614,155614,155614,34935,1096,0,0,0,168671,166195,105527,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
UCR,264424,54,53180,0,254305,264424,0,0,0,264300,0,0,264310,264214,255249,247573,247573,247573,50,0,43791,81313,90435,264424,261610,264393,cleaned_gbif_us_institutionCode_MIDS_2020-10-09-csv.csv,october
