institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_speciesKey,has_higherGeography,File
SFV,16270,0,16155,16270,0,16237,16261,14233,16155,1636,2802,16270,15960,15943,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
SJSU,15931,0,15891,15931,0,15908,15926,9427,0,13,44,15931,15865,15807,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
TENN,419643,70186,419643,419643,0,177416,417454,161361,356203,8524,54225,182548,178098,396821,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
TEX,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
TTU,25,25,23,25,0,25,25,25,0,0,3,12,20,15,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
TULS,8517,8517,8517,8517,0,0,0,0,0,0,0,0,0,8406,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UA,41460,41460,41460,41460,0,40668,41448,39040,0,0,17996,41460,39845,40893,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UAM,205686,205686,205686,205686,0,205686,135820,126605,173287,200305,205686,205682,200031,195505,205686,gbif_us_institutionCode_MIDS_2020.07.08.csv
UAMb,74529,74529,74529,74529,0,74529,74133,29714,57013,74513,74529,74529,74402,70052,74529,gbif_us_institutionCode_MIDS_2020.07.08.csv
UCBG,18900,18900,18900,18900,0,18900,16530,827,0,0,0,18900,0,16211,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UCM,19,19,19,19,0,0,19,13,1,3,4,6,1,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UCMP,44354,44354,44354,44354,0,44327,43098,7204,684,0,0,30980,0,14157,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UCONN,171064,171064,171064,171064,0,170254,169665,155614,0,0,0,168671,166195,161832,20959,gbif_us_institutionCode_MIDS_2020.07.08.csv
UCR,264382,54,50239,264382,0,264281,264292,247533,38922,81158,90264,264382,261568,254252,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UCSB,50440,0,48717,50440,0,50227,50093,32656,44152,407,2889,49698,48409,49494,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UCSC,13206,0,2444,13206,0,13047,13187,8218,2610,480,597,13174,12786,12204,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UD,64,64,64,64,0,32,64,64,0,63,64,57,64,63,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UF,31080,31080,31077,31080,0,31011,31042,27976,1,0,0,28689,240,7540,31062,gbif_us_institutionCode_MIDS_2020.07.08.csv
UHIM,43,43,43,43,0,22,40,0,43,0,0,39,40,10,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UHM,2252,2252,2252,2252,0,0,2151,2151,0,0,0,0,0,1429,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UMD,49190,49190,49190,49190,0,19737,49170,2720,0,23238,43334,49189,49056,48370,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UMMZ,16,16,16,16,0,15,15,3,0,0,0,14,1,15,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UMNH,2,2,2,2,0,2,2,2,0,0,0,2,2,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UNM,128415,128415,121532,128415,0,124472,128303,73186,117067,32040,45410,128239,123966,125565,2,gbif_us_institutionCode_MIDS_2020.07.08.csv
UOBS,909,909,909,909,0,0,0,0,0,0,0,0,0,906,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UOMNH,18572,18572,18570,18572,0,8321,17570,1009,969,0,10482,15862,382,6130,9739,gbif_us_institutionCode_MIDS_2020.07.08.csv
US,3220812,3220812,2939880,3220812,0,2968505,3211502,547352,2393111,0,441396,3208588,2930859,2998537,3215942,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA003,10397,10397,10397,10397,0,2350,8564,958,0,0,0,0,0,10104,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA004,5823,5823,5823,5823,0,3095,5552,2897,0,0,0,0,0,5709,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA005,14674,14674,14674,14674,0,241,9499,48,0,0,0,0,0,14311,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA007,41,41,41,41,0,41,41,41,0,0,0,0,0,37,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA016,49784,49784,49784,49784,0,21452,46101,7250,0,0,0,0,0,48703,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA020,35876,35876,35876,35876,0,16581,33574,8768,0,0,0,0,0,34972,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA022,66656,66656,66656,66656,0,35553,60345,16865,0,0,0,0,0,63059,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA026,14341,14341,14341,14341,0,4727,12749,4457,0,0,0,0,0,12739,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA029,42197,42197,42197,42197,0,17520,35732,18306,0,0,0,0,0,38983,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA033,8361,8361,8361,8361,0,2367,7472,927,0,0,0,0,0,8360,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA042,881,881,881,881,0,292,844,115,0,0,0,0,0,830,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA047,4850,4850,4850,4850,0,465,3813,37,0,0,0,0,0,3838,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA049,7447,7447,7447,7447,0,1205,5718,282,0,0,0,0,0,7420,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA074,1909,1909,1909,1909,0,58,1596,31,0,0,0,0,0,1862,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA108,1009,1009,1009,1009,0,31,609,2,0,0,0,0,0,881,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA133,3606,3606,3606,3606,0,122,259,119,0,0,0,0,0,3574,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA134,241,241,241,241,0,98,224,27,0,0,0,0,0,241,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA148,2923,2923,2923,2923,0,20,1541,6,0,0,0,0,0,2266,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA151,3535,3535,3535,3535,0,1241,1813,796,0,0,0,0,0,3279,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA167,8193,8193,8193,8193,0,4563,7131,3847,0,0,0,0,0,7010,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA174,3760,3760,3760,3760,0,0,677,0,0,0,0,0,0,3760,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA176,2106,2106,2106,2106,0,830,1996,43,0,0,0,0,0,2100,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA200,1484,1484,1484,1484,0,19,1210,2,0,0,0,0,0,1046,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA390,6215,6215,6215,6215,0,899,5309,485,0,0,0,0,0,4816,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA476,39,39,39,39,0,39,39,39,0,0,0,0,0,39,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA559,420,420,420,420,0,142,369,161,0,0,0,0,0,387,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA937,2542,2542,2542,2542,0,0,0,0,0,0,0,0,0,2542,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA955,1683,1683,1683,1683,0,1181,1634,355,0,0,0,0,0,1604,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA956,3981,3981,3981,3981,0,1407,3116,730,0,0,0,0,0,2892,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA962,510,510,510,510,0,0,65,0,0,0,0,0,0,510,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA970,4621,4621,4621,4621,0,14,3819,106,0,0,0,0,0,4618,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USA971,2577,2577,2577,2577,0,1654,2363,23,0,0,0,0,0,2350,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USCH,106036,106036,60992,106036,0,100114,104505,21363,56866,0,104047,104774,98271,102921,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
USF,227073,227073,227073,227073,0,215982,226828,36861,227073,64339,108678,226984,225345,222396,226860,gbif_us_institutionCode_MIDS_2020.07.08.csv
USNM,36063,36063,36062,36063,0,4,11572,0,126,0,9856,5043,3940,17963,11591,gbif_us_institutionCode_MIDS_2020.07.08.csv
USU,162323,162323,162132,162323,0,149734,161795,71852,82628,24300,59478,157772,148100,158668,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UTAH,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UTC,2959,2959,2959,2959,0,2900,2959,1604,27,133,279,2957,2464,2021,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UTEP,83896,83896,83896,83896,0,83896,83880,33833,290,68771,83896,83894,83896,81098,83896,gbif_us_institutionCode_MIDS_2020.07.08.csv
UTEX,1916,0,1916,1916,0,0,1476,0,0,0,0,1564,0,968,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UTKH,526,526,526,526,0,525,0,0,0,0,0,523,0,483,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
UWBM,297865,297865,297865,297865,0,297760,296979,145993,0,86218,162776,297824,294174,279344,15,gbif_us_institutionCode_MIDS_2020.07.08.csv
UWYMED,3,3,3,3,0,3,3,3,0,0,3,3,3,0,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
VMNH,4,4,4,4,0,4,4,0,4,0,4,4,4,0,4,gbif_us_institutionCode_MIDS_2020.07.08.csv
VPI,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
VT,287545,0,287542,287545,0,41117,280793,93109,280666,9378,20546,78659,84171,120714,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
WCUH,28018,5769,28017,28018,0,6478,27801,3179,20979,285,639,5362,6350,27676,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
WOH,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
WSCO,4165,0,4055,4165,0,4037,4156,1216,0,591,3440,4145,4122,4045,0,gbif_us_institutionCode_MIDS_2020.07.08.csv
YPM,237570,237570,237570,237570,0,109192,169308,132971,147547,2803,7545,156197,122764,138069,169464,gbif_us_institutionCode_MIDS_2020.07.08.csv
NA,111821,1673,111700,111821,0,110026,111567,110565,0,5,26,2261,110081,110679,943,gbif_us_institutionCode_MIDS_2020.07.08.csv
